"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
France,702.243,618.954,588.015,562.499,532.339,557.561,772.838,935.117,1020.878,1026.179,1272.433,1273.594,1404.391,1324.236,1396.653,1602.13,1606.035,1454.555,1505.184,1494.634,1366.243,1377.667,1500.348,1844.083,2118.671,2198.16,2320.659,2660.905,2929.983,2697.955,2647.348,2864.653,2685.371,2811.918,2856.701,2439.436,2472.282,2594.235,2791.163,2717.204,2598.907,2938.271,3138.871,3242.496,3342.407,3442.448,3538.695
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.875,16.875,15.642,18.362,18.768,19.278,19.952,20.873,22.1
"Gambia, The",0.606,0.579,0.548,0.551,0.396,0.482,0.376,0.504,0.585,0.614,0.721,0.76,0.82,0.878,0.87,0.909,0.949,0.983,1.009,1.036,1.01,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.662,1.818,1.913,2.078,2.264,2.471,2.686,2.919,3.173
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.85,1.961,3.149,3.609,3.708,2.884,3.143,3.309,3.491,4.103,5.27,6.591,7.963,10.459,13.154,11.069,12.243,15.107,16.489,17.19,17.627,14.953,15.141,16.242,17.599,17.477,15.733,16.163,18,19.643,21.319,23.143,25.078
Germany,853.705,718.264,693.547,691.912,651.9,661.037,944.124,1174.861,1266.623,1257.393,1598.64,1875.618,2136.312,2072.457,2209.934,2588.002,2498.113,2214.694,2242.065,2197.125,1948.843,1945.804,2077.016,2501.014,2813.076,2848.438,2994.862,3425.982,3744.854,3407.557,3402.444,3748.655,3529.377,3733.859,3890.095,3357.926,3468.896,3681.303,3965.565,3861.55,3803.014,4319.286,4598.116,4757.65,4923.011,5084.347,5253.101
Ghana,38.219,61.792,72.038,48.515,17.332,15.379,14.228,11.932,12.678,12.897,14.898,16.673,16.485,13.383,12.303,14.544,15.458,15.786,17.153,17.756,11.467,12.227,14.2,17.494,20.244,24.521,28.785,33.942,38.414,34.254,43.043,53.645,56.505,63.279,53.173,48.595,54.989,58.978,65.518,66.998,68.418,74.26,79.737,84.593,90.127,96.301,103.125
Greece,56.529,52.161,54.415,49.184,47.922,47.532,55.945,65.129,75.803,78.582,97.137,104.742,115.484,108.103,115.694,135.786,144.642,142.117,143.424,148.151,131.082,135.16,153.152,200.613,238.823,245.92,271.254,316.25,352.866,328.156,297.368,282.946,242.193,238.555,235.669,195.416,192.81,200.055,212.346,205.349,189.259,209.857,224.819,232.676,240.065,247.917,255.831
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.169,1.205,1.037,1.041,1.116,1.197,1.266,1.327,1.392
Guatemala,7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.493,9.161,10.15,11.032,12.501,14.04,14.993,16.981,18.441,17.391,18.124,19.736,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.996,41.492,47.419,49.902,52.989,57.835,62.18,66.034,71.583,73.121,76.694,77.073,81.402,84.901,89.345,95.329,101.753,108.621
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.858,6.034,7.304,8.374,8.79,8.79,8.604,10.337,12.181,13.797,15.455,16.339,17.428,18.631,19.893,21.261,22.731
Guinea-Bissau,0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.506,1.44,1.434,1.647,1.783,1.929,2.086,2.252,2.43
Guyana,0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.766,7.255,9.079,10.881,11.338,11.918,12.569
Haiti,2.685,2.956,3.074,3.3,3.656,4.06,4.511,2.223,1.461,1.351,1.72,1.542,0.926,1.115,3.079,4.885,5.041,5.794,6.46,7.206,6.865,6.318,6.112,5.041,6.006,7.052,7.398,9.316,10.389,11.271,11.655,13.009,13.709,14.5,14.789,14.856,13.732,14.214,15.965,14.334,14.286,22.431,22.644,23.677,24.612,25.587,26.566
Honduras,3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.104,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.65,18.527,18.497,19.755,20.978,21.714,23.137,23.857,24.921,23.691,26.161,27.561,29.092,30.793,32.639,34.669
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.84,341.242,361.692,365.708,349.445,368.633,388.8,409.034,430.528,453.573,478.104
Hungary,23.042,23.629,24.064,21.839,21.174,21.441,24.698,27.144,29.703,30.323,34.366,34.754,38.731,40.125,43.167,46.426,46.659,47.297,48.707,49.073,47.218,53.75,67.609,85.302,103.96,112.981,115.577,139.966,158.136,130.76,131.917,141.76,128.475,135.412,140.765,125.074,128.471,142.962,160.419,163.459,154.562,176.543,194.141,207.011,219.239,230.536,242.339
Iceland,3.434,3.544,3.253,2.795,2.894,3.012,4.017,5.566,6.149,5.705,6.51,6.955,7.112,6.232,6.399,7.131,7.48,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.224,24.837,21.715,24.155,25.159,25.823,27.014,28.431,29.956
India,189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,301.234,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.841,476.636,493.934,523.768,618.369,721.589,834.218,949.118,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2294.118,2651.474,2701.112,2870.504,2708.77,3049.704,3312.949,3591.026,3884.732,4199.012,4534.338
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.488,1042.711,1120.042,1059.638,1158.783,1256.282,1360.257,1458.742,1561.954,1672.542
Iran,107.697,111.884,128.136,163.488,172.871,180.301,210.514,283.81,307.885,369.961,588.399,299.168,50.109,65.37,82.434,117.803,161.829,185.835,205.711,273.622,362.717,316.205,129.15,151.897,187.546,224.764,265.479,350.068,405.568,414.013,486.774,580.113,392.295,400.087,433.088,385.023,418.064,445.528,456.59,581.252,635.724,682.859,714.707,739.807,766.087,794.309,824.649
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.634,167.716,192.343,216.946,222.434,172.119,190.733,203.292,216.953,230.008,242.946,258.184
Ireland,21.38,20.38,21.268,20.575,19.842,21.123,28.456,33.589,36.797,37.95,48.098,48.738,54.796,51.256,55.725,69.114,75.768,82.783,90.421,99.009,100.136,109.319,128.535,164.488,194.556,211.941,232.257,270.296,275.894,236.871,222.723,237.905,225.185,238.264,258.889,292.037,299.145,337.545,386.689,398.379,418.716,476.663,515.447,545.815,572.851,599.565,627.013
Israel,23.927,25.352,27.171,30.303,28.687,26.663,32.824,39.205,48.565,49.414,58.309,66.144,73.911,74.285,84.797,100.735,110.43,114.979,116.209,117.373,132.704,131.058,121.411,127.329,135.729,142.661,154.157,179.069,216.338,207.498,234,261.014,257.173,292.693,310.048,300.123,318.617,352.668,370.456,394.652,402.639,446.708,471.411,495.614,519.391,542.842,566.63
Italy,482.019,437.124,432.001,448.304,442.925,457.397,647.819,813.082,900.829,936.906,1169.289,1235.139,1310.659,1053.939,1087.066,1175.276,1312.783,1243.228,1271.701,1253.691,1147.184,1168.031,1275.866,1577.226,1805.722,1859.244,1949.655,2213.365,2408.392,2197.54,2137.845,2294.591,2088.278,2141.954,2162.567,1836.824,1876.554,1961.105,2093.089,2005.135,1884.935,2106.287,2231.938,2295.732,2348.232,2400.011,2451.376
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.948,14.6,15.939,17.01,17.915,18.745,19.604
Japan,1127.876,1243.79,1157.601,1268.62,1345.204,1427.354,2121.25,2584.339,3134.179,3117.068,3196.556,3657.348,3988.334,4544.766,4998.797,5545.567,4923.393,4492.449,4098.362,4635.981,4968.359,4374.71,4182.845,4519.563,4893.135,4831.466,4601.663,4579.749,5106.679,5289.494,5759.072,6233.147,6272.364,5212.328,4896.995,4444.931,5003.678,4930.837,5036.892,5148.781,5048.688,5378.136,5653.462,5977.364,6170.367,6351.098,6533.023
Jordan,4.03,4.525,4.83,5.075,5.127,5.157,6.604,6.962,6.522,4.385,4.29,4.481,5.537,5.704,6.391,6.857,7.145,7.472,8.159,8.403,8.725,9.255,9.882,10.514,11.768,12.982,15.527,17.645,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.467,42.993,44.566,43.481,44.979,47.117,49.792,52.721,55.823,59.106
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,166.806,179.34,181.667,164.792,187.836,198.08,211.422,223.73,236.631,252.133
Kenya,10.099,9.513,9.159,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.959,35.895,37.022,40,41.671,50.422,55.125,61.546,64.235,69.19,78.896,87.801,95.41,99.287,106.041,112.75,120.936,130.16,140.399,151.623
Kiribati,0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.187,0.2,0.198,0.2,0.231,0.243,0.254,0.264,0.274,0.284
"Korea, Republic of",65.368,72.934,78.349,87.761,97.511,101.296,116.836,147.949,199.593,246.929,283.365,330.658,355.516,392.731,463.432,566.595,610.164,570.594,382.855,497.254,576.483,547.743,626.989,702.696,792.532,934.708,1052.61,1172.465,1049.168,943.739,1143.568,1253.419,1278.046,1370.633,1484.489,1466.039,1499.362,1623.074,1725.373,1646.739,1630.871,1806.707,1885.676,1967.85,2052.934,2137.993,2220.715
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.092,2.509,2.691,3.348,3.621,3.738,3.918,4.743,5.71,5.67,5.841,6.7,6.504,7.074,7.398,6.444,6.717,7.243,7.947,7.953,7.789,8.81,9.586,10.16,10.773,11.38,11.956
Kuwait,28.724,25.249,21.583,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.381,120.687,140.665,134.624,107.936,126.93,129.704,133.066,137.539,143.068,150.158
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,8.455,7.471,7.47,7.921,8.417,8.93,9.479,10.006
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266,14.363,15.905,17.056,18.133,18.807,19.078,20.44,21.905,23.462,25.113,26.946,28.895
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.693,2.727,4.53,5.407,5.969,6.523,7.162,7.527,7.953,8.352,9.552,11.754,14.406,16.986,21.536,31.05,35.924,26.386,23.911,28.649,28.346,30.442,31.379,27.253,28.064,30.448,34.432,34.059,33.478,37.72,40.965,43.339,45.696,48.11,50.577
Lebanon,4.019,3.841,2.62,3.61,4.268,3.565,2.779,3.253,3.268,2.681,2.8,4.391,5.47,7.432,8.986,10.967,12.82,15.53,17.054,17.168,17.013,17.355,18.831,19.48,21.153,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.036,46.909,48.134,49.939,51.205,53.141,54.961,52.572,19.126,no data,no data,no data,no data,no data,no data
Lesotho,0.437,0.443,0.369,0.406,0.363,0.29,0.333,0.435,0.494,0.514,0.62,0.703,0.815,0.814,0.859,0.965,0.914,0.963,0.888,0.871,0.847,0.701,0.767,1.109,1.384,1.484,1.519,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.207,2.219,2.356,2.32,2.289,2.068,2.458,2.641,2.805,2.922,3.045,3.222
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.864,0.908,0.946,0.714,0.895,0.947,1.11,1.346,1.677,1.769,1.973,2.342,2.673,3.046,3.09,3.088,3.258,3.335,3.264,3.064,3.033,3.37,3.693,3.863,4.144,4.449,4.784
Libya,38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.216,18.563,30.211,41.432,39.832,21.797,24.267,25.901,27.737,28.724,30.582,32.345
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.696,8.383,10.119,11.24,10.972,11.525,12.238,14.257,18.782,22.624,26.115,30.203,39.764,48.03,37.475,37.195,43.584,42.952,46.537,48.611,41.44,43.035,47.742,53.747,54.633,55.688,62.198,66.087,69.42,72.752,76.065,79.213
Luxembourg,6.46,5.572,4.575,4.491,4.403,4.562,6.638,8.244,9.339,9.944,12.68,13.738,15.39,15.778,17.558,20.655,20.548,18.503,19.342,21.174,21.326,21.291,23.712,29.615,34.733,37.382,42.452,50.959,56.072,51.518,53.308,60.073,56.711,61.758,66.209,57.774,60.716,64.159,70.952,71.113,73.205,84.077,90.449,95.341,99.911,104.342,108.982
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.06,45.085,50.457,55.303,55.154,24.333,39.449,57.06,60.921,65.24,69.459,73.468
Madagascar,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.974,14.519,13.837,14.746,15.972,17.283,18.524,19.776,21.091
Malawi,2.146,2.146,2.046,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.23,6.911,7.663,8.488,9.268,9.598,9.93,10.341,10.779,11.383
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.236,53.514,64.424,72.858,81.121,96.75,109.839,109.098,78.609,86.203,102.149,101.054,109.833,120.025,135.869,150.345,170.412,202.733,241.763,211.854,258.641,302.184,318.91,327.869,342.868,301.355,301.255,319.109,358.713,364.684,338.276,387.093,417.209,453.228,487.996,525.042,564.641
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.367,4.747,5.293,5.632,3.755,4.536,5.252,6.035,6.547,7.051,7.588
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.308,17.639,19.912,21.824,23.434,25.131,26.649,28.827
Malta,1.202,1.174,1.109,1.083,1.025,1.038,1.348,1.682,1.909,1.999,2.401,2.611,2.906,2.59,2.868,3.38,3.446,3.489,3.697,3.858,4.075,4.089,4.478,5.455,6.102,6.415,6.811,7.989,9.127,8.721,9.043,9.637,9.468,10.551,11.629,11.093,11.698,13.217,14.872,15.218,14.559,16.476,17.901,19.041,20.288,21.632,23.05
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.111,0.114,0.115,0.115,0.122,0.132,0.131,0.133,0.137,0.142,0.148,0.152,0.15,0.16,0.172,0.181,0.185,0.182,0.184,0.201,0.212,0.222,0.239,0.234,0.234,0.247,0.258,0.269,0.279,0.289
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.784,7.048,7.93,8.176,9.239,8.724,9.21,9.748,10.195,10.685
Mauritius,1.225,1.163,1.116,1.182,1.094,1.107,1.495,1.893,2.196,2.256,2.706,2.977,3.352,3.455,3.835,4.38,4.529,4.253,4.296,4.536,4.869,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.259,14.182,14.048,11.396,12.212,13.39,14.077,14.599,15.117,15.7
Mexico,228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,1052.697,1109.987,900.047,1057.801,1180.487,1201.094,1274.444,1315.356,1171.87,1078.493,1158.912,1222.346,1268.868,1076.163,1192.48,1251.085,1307.814,1368.868,1430.835,1494.678
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.327,0.317,0.319,0.316,0.332,0.367,0.402,0.413,0.408,0.401,0.421,0.438,0.45,0.462,0.474
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.309,11.956,11.5,11.998,12.577,13.21,13.875,14.573,15.398
Mongolia,3.188,3.336,3.463,3.59,3.316,3.851,4.25,4.776,4.797,4.997,3.131,3.297,1.831,0.901,1.083,1.697,1.576,1.381,1.315,1.236,1.329,1.485,1.634,1.864,2.319,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.426,13.138,13.997,13.137,14.233,15.619,16.91,18.132,19.448,20.868
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.966,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.79,5.651,6.106,6.458,6.774,7.092,7.426
Morocco,21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.312,109.683,118.096,119.701,113.548,124.003,131.309,138.351,145.82,153.764,161.96
Mozambique,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.704,2.584,2.651,2.848,2.959,4.163,4.976,5.625,5.928,5.39,5.31,5.626,6.254,7.589,8.512,9.303,10.534,12.64,12.261,11.418,14.382,16.257,16.968,17.623,15.951,11.937,13.15,14.71,15.195,14.385,13.957,14.889,16.635,19.08,21.914,23.594
